,Port,Port_Code,State_Country,Port_Name
314,"CANNON CORNERS, NY",CNH,NY,CANNON CORNERS
315,"CAPE VINCENT, NY      ",CAP,NY,CAPE VINCENT
316,"CHAMPLAIN, NY         ",CHM,NY,CHAMPLAIN
317,"CHATEAUGAY, NY        ",CHT,NY,CHATEAUGAY
318,"CLAYTON, NY           ",CLA,NY,CLAYTON
319,"FORT COVINGTON, NY    ",FTC,NY,FORT COVINGTON
320,"LA GUARDIA, NY        ",LAG,NY,LA GUARDIA
321,"LEWISTON, NY          ",LEW,NY,LEWISTON
322,"MASSENA, NY           ",MAS,NY,MASSENA
323,"MCGUIRE AFB, NY       ",MAG,NY,MCGUIRE AFB
324,"MOORES, NY            ",MOO,NY,MOORES
325,"MORRISTOWN, NY        ",MRR,NY,MORRISTOWN
326,"NEW YORK, NY          ",NYC,NY,NEW YORK
327,"NIAGARA FALLS, NY     ",NIA,NY,NIAGARA FALLS
328,"OGDENSBURG, NY        ",OGD,NY,OGDENSBURG
329,"OSWEGO, NY            ",OSW,NY,OSWEGO
330,"REGIONAL ARPT - HORSEHEAD, NY",ELM,NY,REGIONAL ARPT - HORSEHEAD
331,"ROCHESTER, NY         ",ROC,NY,ROCHESTER
332,"ROUSES POINT, NY      ",ROU,NY,ROUSES POINT
333,"STEWART - ORANGE CNTY, NY",SWF,NY,STEWART - ORANGE CNTY
334,"SYRACUSE, NY          ",SYR,NY,SYRACUSE
335,"THOUSAND ISLAND BRIDGE, NY",THO,NY,THOUSAND ISLAND BRIDGE
336,"TROUT RIVER, NY       ",TRO,NY,TROUT RIVER
337,"WATERTOWN, NY         ",WAT,NY,WATERTOWN
338,"WESTCHESTER - WHITE PLAINS, NY",HPN,NY,WESTCHESTER - WHITE PLAINS
339,"WHIRLPOOL BRIDGE, NY",WRB,NY,WHIRLPOOL BRIDGE
340,"YOUNGSTOWN, NY        ",YOU,NY,YOUNGSTOWN
341,"AKRON, OH             ",AKR,OH,AKRON
342,"ASHTABULA, OH         ",ATB,OH,ASHTABULA
343,"CINCINNATI, OH        ",CIN,OH,CINCINNATI
344,"CLEVELAND, OH         ",CLE,OH,CLEVELAND
345,"COLUMBUS, OH          ",CLM,OH,COLUMBUS
346,"LORAIN, OH            ",LOR,OH,LORAIN
347,"MARBLE HEADS, OH      ",MBO,OH,MARBLE HEADS
348,"SANDUSKY, OH          ",SDY,OH,SANDUSKY
349,"TOLEDO, OH            ",TOL,OH,TOLEDO
350,"OKLAHOMA CITY, OK     ",OKC,OK,OKLAHOMA CITY
351,"TULSA, OK",TUL,OK,TULSA
352,"ASTORIA, OR           ",AST,OR,ASTORIA
353,"COOS BAY, OR          ",COO,OR,COOS BAY
354,"HILLSBORO, OR",HIO,OR,HILLSBORO
355,"MEDFORD, OR           ",MED,OR,MEDFORD
356,"NEWPORT, OR           ",NPT,OR,NEWPORT
357,"PORTLAND, OR          ",POO,OR,PORTLAND
358,"PUT-IN-BAY, OH        ",PUT,OH,PUT-IN-BAY
359,"ROBERTS FIELDS - REDMOND, OR",RDM,OR,ROBERTS FIELDS - REDMOND
360,"ERIE, PA              ",ERI,PA,ERIE
361,"HARRISBURG, PA",MDT,PA,HARRISBURG
362,"HARRISONBURG, PA      ",HSB,PA,HARRISONBURG
363,"PHILADELPHIA, PA      ",PHI,PA,PHILADELPHIA
364,"PITTSBURG, PA         ",PIT,PA,PITTSBURG
365,"AGUADILLA, PR         ",AGU,PR,AGUADILLA
366,"BORINQUEN - AGUADILLO, PR",BQN,PR,BORINQUEN - AGUADILLO
367,"CULEBRA - BENJAMIN RIVERA, PR",JCP,PR,CULEBRA - BENJAMIN RIVERA
368,"ENSENADA, PR          ",ENS,PR,ENSENADA
369,"FAJARDO, PR           ",FAJ,PR,FAJARDO
370,"HUMACAO, PR           ",HUM,PR,HUMACAO
371,"JOBOS, PR             ",JOB,PR,JOBOS
372,"MAYAGUEZ, PR          ",MAY,PR,MAYAGUEZ
373,"PONCE, PR             ",PON,PR,PONCE
374,"PONCE-MERCEDITA, PR",PSE,PR,PONCE-MERCEDITA
375,"SAN JUAN, PR          ",SAJ,PR,SAN JUAN
376,"VIEQUES-ARPT, PR",VQS,PR,VIEQUES-ARPT
377,"PROVIDENCE, RI        ",PRO,RI,PROVIDENCE
378,"THEODORE FRANCIS - WARWICK, RI",PVD,RI,THEODORE FRANCIS - WARWICK
379,"CHARLESTON, SC        ",CHL,SC,CHARLESTON
380,"COLUMBIA, SC #ARPT",CAE,SC,COLUMBIA
381,"GEORGETOWN, SC        ",GEO,SC,GEORGETOWN
382,"GREENVILLE, SC",GSP,SC,GREENVILLE
383,"GREER, SC",GRR,SC,GREER
384,"MYRTLE BEACH, SC",MYR,SC,MYRTLE BEACH
385,"BLACK HILLS, SPEARFISH, SD",SPF,SD,BLACK HILLS
386,"HOWES REGIONAL ARPT - HURON, SD",HON,SD,HOWES REGIONAL ARPT - HURON
387,"SAIPAN, SPN           ",SAI,SPN,SAIPAN
388,"MC GHEE TYSON - ALCOA, TN",TYS,TN,MC GHEE TYSON - ALCOA
389,"MEMPHIS, TN           ",MEM,TN,MEMPHIS
390,"NASHVILLE, TN         ",NSV,TN,NASHVILLE
391,"TRI CITY ARPT, TN",TRI,TN,TRI CITY ARPT
392,"ADDISON AIRPORT- ADDISON, TX",ADS,TX,ADDISON AIRPORT- ADDISON
393,"AMISTAD DAM, TX       ",ADT,TX,AMISTAD DAM
394,"ANZALDUAS, TX",ANZ,TX,ANZALDUAS
395,"AUSTIN, TX            ",AUS,TX,AUSTIN
396,"BEAUMONT, TX          ",BEA,TX,BEAUMONT
397,"BIG BEND PARK, TX (BPS)",BBP,TX,BIG BEND PARK
398,"BP SPEC COORD. CTR, TX",SCC,TX,BP SPEC COORD. CTR
399,"BP TACTICAL UNIT, TX  ",BTC,TX,BP TACTICAL UNIT
400,"BRIDGE OF AMERICAS, TX",BOA,TX,BRIDGE OF AMERICAS
401,"BROWNSVILLE, TX       ",BRO,TX,BROWNSVILLE
402,"CORPUS CHRISTI, TX    ",CRP,TX,CORPUS CHRISTI
403,"DALLAS, TX            ",DAL,TX,DALLAS
404,"DEL RIO, TX           ",DLR,TX,DEL RIO
405,"DONNA, TX",DNA,TX,DONNA
406,"EAGLE PASS, TX        ",EGP,TX,EAGLE PASS
407,"EL PASO, TX           ",ELP,TX,EL PASO
