,Port,Port_Code,State_Country,Port_Name
17,"PORT LIONS SPB, AK",ORI,AK,PORT LIONS SPB
18,"SKAGWAY, AK           ",SKA,AK,SKAGWAY
19,"ST. PAUL ISLAND, AK",SNP,AK,ST. PAUL ISLAND
20,"TOKEEN, AK",TKI,AK,TOKEEN
21,"WRANGELL, AK          ",WRA,AK,WRANGELL
22,"MADISON COUNTY - HUNTSVILLE, AL",HSV,AL,MADISON COUNTY - HUNTSVILLE
23,"MOBILE, AL            ",MOB,AL,MOBILE
24,"LITTLE ROCK, AR (BPS)",LIA,AR,LITTLE ROCK
25,"ROGERS ARPT, AR",ROG,AR,ROGERS ARPT
26,"DOUGLAS, AZ           ",DOU,AZ,DOUGLAS
27,"LUKEVILLE, AZ         ",LUK,AZ,LUKEVILLE
28,"MARIPOSA, AZ           ",MAP,AZ,MARIPOSA
29,"NACO, AZ              ",NAC,AZ,NACO
30,"NOGALES, AZ           ",NOG,AZ,NOGALES
31,"PHOENIX, AZ           ",PHO,AZ,PHOENIX
32,"PORTAL, AZ",POR,AZ,PORTAL
33,"SAN LUIS, AZ          ",SLU,AZ,SAN LUIS
34,"SASABE, AZ            ",SAS,AZ,SASABE
35,"TUCSON, AZ            ",TUC,AZ,TUCSON
36,"YUMA, AZ              ",YUI,AZ,YUMA
37,"ANDRADE, CA           ",AND,CA,ANDRADE
38,"BURBANK, CA",BUR,CA,BURBANK
39,"CALEXICO, CA          ",CAL,CA,CALEXICO
40,"CAMPO, CA             ",CAO,CA,CAMPO
41,"FRESNO, CA            ",FRE,CA,FRESNO
42,"IMPERIAL COUNTY, CA   ",ICP,CA,IMPERIAL COUNTY
43,"LONG BEACH, CA         ",LNB,CA,LONG BEACH
44,"LOS ANGELES, CA       ",LOS,CA,LOS ANGELES
45,"MEADOWS FIELD - BAKERSFIELD, CA",BFL,CA,MEADOWS FIELD - BAKERSFIELD
46,"OAKLAND, CA ",OAK,CA,OAKLAND
47,"ONTARIO, CA",ONT,CA,ONTARIO
48,"OTAY MESA, CA          ",OTM,CA,OTAY MESA
49,"PACIFIC, HWY. STATION, CA ",BLT,CA,PACIFIC
50,"PALM SPRINGS, CA",PSP,CA,PALM SPRINGS
51,"SACRAMENTO, CA        ",SAC,CA,SACRAMENTO
52,"SALINAS, CA (BPS)",SLS,CA,SALINAS
53,"SAN DIEGO, CA",SDP,CA,SAN DIEGO
54,"SAN FRANCISCO, CA     ",SFR,CA,SAN FRANCISCO
55,"SAN JOSE, CA          ",SNJ,CA,SAN JOSE
56,"SAN LUIS OBISPO, CA   ",SLO,CA,SAN LUIS OBISPO
57,"SAN LUIS OBISPO, CA (BPS)",SLI,CA,SAN LUIS OBISPO
58,"SAN PEDRO, CA         ",SPC,CA,SAN PEDRO
59,"SAN YSIDRO, CA        ",SYS,CA,SAN YSIDRO
60,"SANTA ANA, CA         ",SAA,CA,SANTA ANA
61,"STOCKTON, CA (BPS)",STO,CA,STOCKTON
62,"TECATE, CA            ",TEC,CA,TECATE
63,"TRAVIS-AFB, CA        ",TRV,CA,TRAVIS-AFB
64,"ARAPAHOE COUNTY, CO",APA,CO,ARAPAHOE COUNTY
65,"ASPEN, CO #ARPT",ASE,CO,ASPEN
66,"COLORADO SPRINGS, CO",COS,CO,COLORADO SPRINGS
67,"DENVER, CO            ",DEN,CO,DENVER
68,"LA PLATA - DURANGO, CO",DRO,CO,LA PLATA - DURANGO
69,"BRADLEY INTERNATIONAL, CT",BDL,CT,BRADLEY INTERNATIONAL
70,"BRIDGEPORT, CT        ",BGC,CT,BRIDGEPORT
71,"GROTON, CT            ",GRT,CT,GROTON
72,"HARTFORD, CT          ",HAR,CT,HARTFORD
73,"NEW HAVEN, CT         ",NWH,CT,NEW HAVEN
74,"NEW LONDON, CT        ",NWL,CT,NEW LONDON
75,"NEWINGTON DATA CENTER TEST, CT",TST,CT,NEWINGTON DATA CENTER TEST
76,"WASHINGTON, DC         ",WAS,DC,WASHINGTON
77,"DOVER AFB, DE",DOV,DE,DOVER AFB
78,"DOVER-AFB, DE         ",DVD,DE,DOVER-AFB
79,"WILMINGTON, DE        ",WLL,DE,WILMINGTON
80,"BOCAGRANDE, FL        ",BOC,FL,BOCAGRANDE
81,"BRADENTON - SARASOTA, FL",SRQ,FL,BRADENTON - SARASOTA
82,"CAPE CANAVERAL, FL    ",CAN,FL,CAPE CANAVERAL
83,"DAYTONA BEACH INTERNATIONAL, FL",DAB,FL,DAYTONA BEACH INTERNATIONAL
84,"FERNANDINA, FL        ",FRN,FL,FERNANDINA
85,"FORT LAUDERDALE, FL   ",FTL,FL,FORT LAUDERDALE
86,"FORT MYERS, FL        ",FMY,FL,FORT MYERS
87,"FORT PIERCE, FL       ",FPF,FL,FORT PIERCE
88,"HURLBURT FIELD, FL",HUR,FL,HURLBURT FIELD
89,"J R ALISON MUNI - GAINESVILLE, FL",GNV,FL,J R ALISON MUNI - GAINESVILLE
90,"JACKSONVILLE, FL      ",JAC,FL,JACKSONVILLE
91,"KEY WEST, FL          ",KEY,FL,KEY WEST
92,"LEESBURG MUNICIPAL AIRPORT, FL",LEE,FL,LEESBURG MUNICIPAL AIRPORT
93,"MELBOURNE, FL",MLB,FL,MELBOURNE
94,"MIAMI, FL             ",MIA,FL,MIAMI
95,"NAPLES, FL #ARPT",APF,FL,NAPLES
96,"OPA LOCKA, FL",OPF,FL,OPA LOCKA
97,"ORLANDO, FL           ",ORL,FL,ORLANDO
98,"PANAMA CITY, FL       ",PAN,FL,PANAMA CITY
99,"PENSACOLA, FL         ",PEN,FL,PENSACOLA
100,"PORT CANAVERAL, FL    ",PCF,FL,PORT CANAVERAL
101,"PORT EVERGLADES, FL   ",PEV,FL,PORT EVERGLADES
102,"PORT ST JOE, FL       ",PSJ,FL,PORT ST JOE
103,"SANFORD, FL           ",SFB,FL,SANFORD
104,"ST AUGUSTINE ARPT, FL",SGJ,FL,ST AUGUSTINE ARPT
105,"ST AUGUSTINE, FL      ",SAU,FL,ST AUGUSTINE
106,"ST LUCIE COUNTY, FL",FPR,FL,ST LUCIE COUNTY
107,"ST PETERSBURG, FL     ",SPE,FL,ST PETERSBURG
108,"TAMPA, FL             ",TAM,FL,TAMPA
109,"WEST PALM BEACH, FL   ",WPB,FL,WEST PALM BEACH
110,"ATLANTA, GA           ",ATL,GA,ATLANTA
111,"BRUNSWICK, GA         ",BRU,GA,BRUNSWICK
112,"BUSH FIELD - AUGUSTA, GA",AGS,GA,BUSH FIELD - AUGUSTA
113,"SAVANNAH, GA          ",SAV,GA,SAVANNAH
114,"AGANA, GU             ",AGA,GU,AGANA
115,"HONOLULU, HI          ",HHW,HI,HONOLULU
116,"KAHULUI - MAUI, HI",OGG,HI,KAHULUI - MAUI
117,"KEAHOLE-KONA, HI      ",KOA,HI,KEAHOLE-KONA
118,"LIHUE, HI             ",LIH,HI,LIHUE
119,"CEDAR RAPIDS/IOWA CITY, IA",CID,IA,CEDAR RAPIDS/IOWA CITY
120,"DES MOINES, IA",DSM,IA,DES MOINES
121,"AIR TERM. (GOWEN FLD) BOISE, ID",BOI,ID,AIR TERM. (GOWEN FLD) BOISE
122,"EASTPORT, ID          ",EPI,ID,EASTPORT
123,"FANNING FIELD - IDAHO FALLS, ID",IDA,ID,FANNING FIELD - IDAHO FALLS
124,"PORTHILL, ID          ",PTL,ID,PORTHILL
125,"CAPITAL - SPRINGFIELD, IL",SPI,IL,CAPITAL - SPRINGFIELD
126,"CHICAGO, IL           ",CHI,IL,CHICAGO
127,"DUPAGE COUNTY, IL",DPA,IL,DUPAGE COUNTY
128,"GREATER PEORIA, IL",PIA,IL,GREATER PEORIA
129,"GREATER ROCKFORD, IL",RFD,IL,GREATER ROCKFORD
130,"MEMORIAL - WAUKEGAN, IL",UGN,IL,MEMORIAL - WAUKEGAN
131,"GARY, IN              ",GAR,IN,GARY
132,"HAMMOND, IN           ",HMM,IN,HAMMOND
133,"INDIANAPOLIS, IN      ",INP,IN,INDIANAPOLIS
134,"MERRILLVILLE, IN      ",MRL,IN,MERRILLVILLE
135,"SOUTH BEND, IN",SBN,IN,SOUTH BEND
136,"MID-CONTINENT - WITCHITA, KS",ICT,KS,MID-CONTINENT - WITCHITA
137,"BLUE GRASS - LEXINGTON, KY",LEX,KY,BLUE GRASS - LEXINGTON
138,"LOUISVILLE, KY        ",LOU,KY,LOUISVILLE
139,"BATON ROUGE, LA       ",BTN,LA,BATON ROUGE
140,"LAKE CHARLES, LA      ",LKC,LA,LAKE CHARLES
141,"LAKE CHARLES, LA (BPS)",LAK,LA,LAKE CHARLES
142,"MONROE, LA",MLU,LA,MONROE
143,"MORGAN CITY, LA       ",MGC,LA,MORGAN CITY
144,"NEW ORLEANS, LA       ",NOL,LA,NEW ORLEANS
145,"BOSTON, MA            ",BOS,MA,BOSTON
146,"GLOUCESTER, MA        ",GLO,MA,GLOUCESTER
147,"HANSCOM FIELD - BEDFORD, MA",BED,MA,HANSCOM FIELD - BEDFORD
148,"LYNDEN, WA            ",LYN,WA,LYNDEN
149,"ANDREWS AFB, MD",ADW,MD,ANDREWS AFB
150,"BALTIMORE, MD         ",BAL,MD,BALTIMORE
151,"MUSKEGON, MD",MKG,MD,MUSKEGON
152,"PATUXENT RIVER, MD    ",PAX,MD,PATUXENT RIVER
153,"BANGOR, ME            ",BGM,ME,BANGOR
154,"BOOTHBAY HARBOR, ME   ",BOO,ME,BOOTHBAY HARBOR
155,"BRIDGEWATER, ME       ",BWM,ME,BRIDGEWATER
156,"BUCKPORT, ME          ",BCK,ME,BUCKPORT
157,"CALAIS, ME   ",CLS,ME,CALAIS
158,"CARIBOU, ME           ",CRB,ME,CARIBOU
159,"COBURN GORE, ME       ",COB,ME,COBURN GORE
160,"EASTCOURT, ME         ",EST,ME,EASTCOURT
161,"EASTPORT MUNICIPAL, ME",EPT,ME,EASTPORT MUNICIPAL
162,"EASTPORT, ME          ",EPM,ME,EASTPORT
163,"FOREST CITY, ME       ",FOR,ME,FOREST CITY
164,"FORT FAIRFIELD, ME    ",FTF,ME,FORT FAIRFIELD
165,"FORT KENT, ME         ",FTK,ME,FORT KENT
166,"HAMIIN, ME            ",HML,ME,HAMIIN
167,"HOULTON, ME           ",HTM,ME,HOULTON
168,"JACKMAN, ME           ",JKM,ME,JACKMAN
169,"KALISPEL, MT          ",KAL,MT,KALISPEL
170,"LIMESTONE, ME         ",LIM,ME,LIMESTONE
171,"LUBEC, ME             ",LUB,ME,LUBEC
172,"MADAWASKA, ME         ",MAD,ME,MADAWASKA
173,"PORTLAND, ME          ",POM,ME,PORTLAND
174,"RANGELEY, ME (BPS)",RGM,ME,RANGELEY
175,"SOUTH BREWER, ME      ",SBR,ME,SOUTH BREWER
176,"ST AURELIE, ME        ",SRL,ME,ST AURELIE
177,"ST PAMPILE, ME        ",SPA,ME,ST PAMPILE
178,"VAN BUREN, ME         ",VNB,ME,VAN BUREN
179,"VANCEBORO, ME         ",VCB,ME,VANCEBORO
180,"ALGONAC, MI           ",AGN,MI,ALGONAC
181,"ALPENA, MI            ",ALP,MI,ALPENA
182,"BAY CITY, MI          ",BCY,MI,BAY CITY
183,"DETROIT, MI           ",DET,MI,DETROIT
184,"GRAND RAPIDS, MI",GRP,MI,GRAND RAPIDS
185,"GROSSE ISLE, MI       ",GRO,MI,GROSSE ISLE
186,"ISLE ROYALE, MI       ",ISL,MI,ISLE ROYALE
187,"MARINE CITY, MI       ",MRC,MI,MARINE CITY
188,"MARYSVILLE, MI        ",MRY,MI,MARYSVILLE
189,"OAKLAND COUNTY - PONTIAC, MI",PTK,MI,OAKLAND COUNTY - PONTIAC
190,"PORT HURON, MI        ",PHU,MI,PORT HURON
191,"ROBERTS LANDING, MI   ",RBT,MI,ROBERTS LANDING
192,"SAGINAW, MI           ",SAG,MI,SAGINAW
193,"SAULT STE. MARIE, MI  ",SSM,MI,SAULT STE. MARIE
194,"ST CLAIR, MI          ",SCL,MI,ST CLAIR
195,"WILLOW RUN - YPSILANTI, MI",YIP,MI,WILLOW RUN - YPSILANTI
196,"BAUDETTE, MN          ",BAU,MN,BAUDETTE
197,"CARIBOU MUNICIPAL AIRPORT, MN",CAR,MN,CARIBOU MUNICIPAL AIRPORT
198,"Collapsed into INT, MN",GTF,MN,Collapsed into INT
199,"Collapsed into INT, MN",INL,MN,Collapsed into INT
200,"CRANE LAKE, MN        ",CRA,MN,CRANE LAKE
201,"CRYSTAL MUNICIPAL AIRPORT, MN",MIC,MN,CRYSTAL MUNICIPAL AIRPORT
202,"DULUTH, MN            ",DUL,MN,DULUTH
203,"ELY, MN               ",ELY,MN,ELY
204,"GRAND PORTAGE, MN     ",GPM,MN,GRAND PORTAGE
205,"GRANT COUNTY - SILVER CITY, MN",SVC,MN,GRANT COUNTY - SILVER CITY
206,"INTL FALLS, MN      ",INT,MN,INTL FALLS
207,"LANCASTER, MN         ",LAN,MN,LANCASTER
208,"MINN./ST PAUL, MN     ",MSP,MN,MINN./ST PAUL
209,"NORTHERN SVC CENTER, MN   ",LIN,MN,NORTHERN SVC CENTER
210,"NOYES, MN             ",NOY,MN,NOYES
211,"PINE CREEK, MN        ",PIN,MN,PINE CREEK
212,"PINECREEK BORDER ARPT, MN",48Y,MN,PINECREEK BORDER ARPT
213,"RAINER, MN            ",RAN,MN,RAINER
214,"ROCHESTER, MN",RST,MN,ROCHESTER
215,"ROSEAU, MN            ",ROS,MN,ROSEAU
216,"ST PAUL, MN           ",SPM,MN,ST PAUL
217,"WARROAD INTL, SPB, MN",WSB,MN,WARROAD INTL
218,"WARROAD, MN           ",WAR,MN,WARROAD
219,"KANSAS CITY, MO       ",KAN,MO,KANSAS CITY
