,Port,Port_Code,State_Country,Port_Name
FPF,"FORT PIERCE, FL       ",FPF,AK,ALCAN
HUR,"HURLBURT FIELD, FL",HUR,AK,ALCAN
GNV,"J R ALISON MUNI - GAINESVILLE, FL",GNV,AK,ALCAN
JAC,"JACKSONVILLE, FL      ",JAC,AK,ALCAN
KEY,"KEY WEST, FL          ",KEY,AK,ALCAN
LEE,"LEESBURG MUNICIPAL AIRPORT, FL",LEE,AK,ALCAN
MLB,"MELBOURNE, FL",MLB,AK,ALCAN
MIA,"MIAMI, FL             ",MIA,AK,ALCAN
APF,"NAPLES, FL #ARPT",APF,AK,ALCAN
OPF,"OPA LOCKA, FL",OPF,AK,ALCAN
ORL,"ORLANDO, FL           ",ORL,AK,ALCAN
PAN,"PANAMA CITY, FL       ",PAN,AK,ALCAN
PEN,"PENSACOLA, FL         ",PEN,AK,ALCAN
PCF,"PORT CANAVERAL, FL    ",PCF,AK,ALCAN
PEV,"PORT EVERGLADES, FL   ",PEV,AK,ALCAN
PSJ,"PORT ST JOE, FL       ",PSJ,AK,ALCAN
SFB,"SANFORD, FL           ",SFB,AK,ALCAN
SGJ,"ST AUGUSTINE ARPT, FL",SGJ,AK,ALCAN
SAU,"ST AUGUSTINE, FL      ",SAU,AK,ALCAN
FPR,"ST LUCIE COUNTY, FL",FPR,AK,ALCAN
SPE,"ST PETERSBURG, FL     ",SPE,AK,ALCAN
TAM,"TAMPA, FL             ",TAM,AK,ALCAN
WPB,"WEST PALM BEACH, FL   ",WPB,AK,ALCAN
ATL,"ATLANTA, GA           ",ATL,AK,ALCAN
BRU,"BRUNSWICK, GA         ",BRU,AK,ALCAN
AGS,"BUSH FIELD - AUGUSTA, GA",AGS,AK,ALCAN
SAV,"SAVANNAH, GA          ",SAV,AK,ALCAN
AGA,"AGANA, GU             ",AGA,AK,ALCAN
HHW,"HONOLULU, HI          ",HHW,AK,ALCAN
OGG,"KAHULUI - MAUI, HI",OGG,AK,ALCAN
KOA,"KEAHOLE-KONA, HI      ",KOA,AK,ALCAN
LIH,"LIHUE, HI             ",LIH,AK,ALCAN
CID,"CEDAR RAPIDS/IOWA CITY, IA",CID,AK,ALCAN
DSM,"DES MOINES, IA",DSM,AK,ALCAN
BOI,"AIR TERM. (GOWEN FLD) BOISE, ID",BOI,AK,ALCAN
EPI,"EASTPORT, ID          ",EPI,AK,ALCAN
IDA,"FANNING FIELD - IDAHO FALLS, ID",IDA,AK,ALCAN
PTL,"PORTHILL, ID          ",PTL,AK,ALCAN
SPI,"CAPITAL - SPRINGFIELD, IL",SPI,AK,ALCAN
CHI,"CHICAGO, IL           ",CHI,AK,ALCAN
DPA,"DUPAGE COUNTY, IL",DPA,AK,ALCAN
PIA,"GREATER PEORIA, IL",PIA,AK,ALCAN
RFD,"GREATER ROCKFORD, IL",RFD,AK,ALCAN
UGN,"MEMORIAL - WAUKEGAN, IL",UGN,AK,ALCAN
GAR,"GARY, IN              ",GAR,AK,ALCAN
HMM,"HAMMOND, IN           ",HMM,AK,ALCAN
INP,"INDIANAPOLIS, IN      ",INP,AK,ALCAN
MRL,"MERRILLVILLE, IN      ",MRL,AK,ALCAN
SBN,"SOUTH BEND, IN",SBN,AK,ALCAN
ICT,"MID-CONTINENT - WITCHITA, KS",ICT,AK,ALCAN
