,Port,Port_Code,State_Country,Port_Name
ISB,"PORT ISABEL, TX       ",ISB,AK,ALCAN
POE,"PORT OF EL PASO, TX   ",POE,AK,ALCAN
PRE,"PRESIDIO, TX          ",PRE,AK,ALCAN
PGR,"PROGRESO, TX          ",PGR,AK,ALCAN
RIO,"RIO GRANDE CITY, TX   ",RIO,AK,ALCAN
ROM,"ROMA, TX              ",ROM,AK,ALCAN
SNA,"SAN ANTONIO, TX       ",SNA,AK,ALCAN
SNN,"SANDERSON, TX         ",SNN,AK,ALCAN
VIB,"VETERAN INTL BRIDGE, TX",VIB,AK,ALCAN
YSL,"YSLETA, TX            ",YSL,AK,ALCAN
CHA,"CHARLOTTE AMALIE, VI  ",CHA,AK,ALCAN
CHR,"CHRISTIANSTED, VI     ",CHR,AK,ALCAN
CRU,"CRUZ BAY, ST JOHN, VI ",CRU,AK,ALCAN
FRK,"FREDERIKSTED, VI      ",FRK,AK,ALCAN
STT,"ST THOMAS, VI         ",STT,AK,ALCAN
LGU,"CACHE AIRPORT - LOGAN, UT",LGU,AK,ALCAN
SLC,"SALT LAKE CITY, UT    ",SLC,AK,ALCAN
CHO,"ALBEMARLE CHARLOTTESVILLE, VA",CHO,AK,ALCAN
DAA,"DAVISON AAF - FAIRFAX CNTY, VA",DAA,AK,ALCAN
HOP,"HOPEWELL, VA          ",HOP,AK,ALCAN
HEF,"MANASSAS, VA #ARPT",HEF,AK,ALCAN
NWN,"NEWPORT, VA           ",NWN,AK,ALCAN
NOR,"NORFOLK, VA           ",NOR,AK,ALCAN
RCM,"RICHMOND, VA          ",RCM,AK,ALCAN
ABS,"ALBURG SPRINGS, VT    ",ABS,AK,ALCAN
ABG,"ALBURG, VT            ",ABG,AK,ALCAN
BEB,"BEEBE PLAIN, VT       ",BEB,AK,ALCAN
BEE,"BEECHER FALLS, VT     ",BEE,AK,ALCAN
BRG,"BURLINGTON, VT        ",BRG,AK,ALCAN
CNA,"CANAAN, VT            ",CNA,AK,ALCAN
DER,"DERBY LINE, VT (I-91) ",DER,AK,ALCAN
DLV,"DERBY LINE, VT (RT. 5)",DLV,AK,ALCAN
ERC,"EAST RICHFORD, VT     ",ERC,AK,ALCAN
HIG,"HIGHGATE SPRINGS, VT  ",HIG,AK,ALCAN
MOR,"MORSES LINE, VT       ",MOR,AK,ALCAN
NPV,"NEWPORT, VT           ",NPV,AK,ALCAN
NRT,"NORTH TROY, VT        ",NRT,AK,ALCAN
NRN,"NORTON, VT            ",NRN,AK,ALCAN
PIV,"PINNACLE ROAD, VT     ",PIV,AK,ALCAN
RIF,"RICHFORT, VT          ",RIF,AK,ALCAN
STA,"ST ALBANS, VT         ",STA,AK,ALCAN
SWB,"SWANTON, VT (BP - SECTOR HQ)",SWB,AK,ALCAN
WBE,"WEST BERKSHIRE, VT    ",WBE,AK,ALCAN
ABE,"ABERDEEN, WA          ",ABE,AK,ALCAN
ANA,"ANACORTES, WA         ",ANA,AK,ALCAN
BEL,"BELLINGHAM, WA        ",BEL,AK,ALCAN
BLI,"BELLINGHAM, WASHINGTON #INTL",BLI,AK,ALCAN
BLA,"BLAINE, WA            ",BLA,AK,ALCAN
BWA,"BOUNDARY, WA          ",BWA,AK,ALCAN
CUR,"CURLEW, WA (BPS)",CUR,AK,ALCAN
DVL,"DANVILLE, WA          ",DVL,AK,ALCAN
EVE,"EVERETT, WA           ",EVE,AK,ALCAN
FER,"FERRY, WA             ",FER,AK,ALCAN
FRI,"FRIDAY HARBOR, WA     ",FRI,AK,ALCAN
FWA,"FRONTIER, WA          ",FWA,AK,ALCAN
KLM,"KALAMA, WA            ",KLM,AK,ALCAN
LAU,"LAURIER, WA           ",LAU,AK,ALCAN
LON,"LONGVIEW, WA          ",LON,AK,ALCAN
MET,"METALINE FALLS, WA    ",MET,AK,ALCAN
MWH,"MOSES LAKE GRANT COUNTY ARPT, WA",MWH,AK,ALCAN
NEA,"NEAH BAY, WA          ",NEA,AK,ALCAN
NIG,"NIGHTHAWK, WA         ",NIG,AK,ALCAN
OLY,"OLYMPIA, WA           ",OLY,AK,ALCAN
ORO,"OROVILLE, WA          ",ORO,AK,ALCAN
PWB,"PASCO, WA             ",PWB,AK,ALCAN
PIR,"POINT ROBERTS, WA     ",PIR,AK,ALCAN
PNG,"PORT ANGELES, WA      ",PNG,AK,ALCAN
PTO,"PORT TOWNSEND, WA     ",PTO,AK,ALCAN
SEA,"SEATTLE, WA           ",SEA,AK,ALCAN
SPO,"SPOKANE, WA           ",SPO,AK,ALCAN
SUM,"SUMAS, WA             ",SUM,AK,ALCAN
TAC,"TACOMA, WA            ",TAC,AK,ALCAN
PSC,"TRI-CITIES - PASCO, WA",PSC,AK,ALCAN
VAN,"VANCOUVER, WA         ",VAN,AK,ALCAN
AGM,"ALGOMA, WI            ",AGM,AK,ALCAN
BAY,"BAYFIELD, WI          ",BAY,AK,ALCAN
GRB,"GREEN BAY, WI         ",GRB,AK,ALCAN
MNW,"MANITOWOC, WI         ",MNW,AK,ALCAN
MIL,"MILWAUKEE, WI         ",MIL,AK,ALCAN
MSN,"TRUAX FIELD - DANE COUNTY, WI",MSN,AK,ALCAN
CHS,"CHARLESTON, WV        ",CHS,AK,ALCAN
CLK,"CLARKSBURG, WV        ",CLK,AK,ALCAN
BLF,"MERCER COUNTY, WV",BLF,AK,ALCAN
CSP,"CASPER, WY            ",CSP,AK,ALCAN
XXX,NOT REPORTED/UNKNOWN  ,XXX,AK,ALCAN
888,UNIDENTIFED AIR / SEAPORT,888,AK,ALCAN
UNK,UNKNOWN POE           ,UNK,AK,ALCAN
CLG,"CALGARY, CANADA       ",CLG,AK,ALCAN
EDA,"EDMONTON, CANADA      ",EDA,AK,ALCAN
YHC,"HAKAI PASS, CANADA",YHC,AK,ALCAN
HAL,"Halifax, NS, Canada   ",HAL,AK,ALCAN
MON,"MONTREAL, CANADA      ",MON,AK,ALCAN
OTT,"OTTAWA, CANADA        ",OTT,AK,ALCAN
YXE,"SASKATOON, CANADA",YXE,AK,ALCAN
TOR,"TORONTO, CANADA       ",TOR,AK,ALCAN
VCV,"VANCOUVER, CANADA     ",VCV,AK,ALCAN
VIC,"VICTORIA, CANADA      ",VIC,AK,ALCAN
WIN,"WINNIPEG, CANADA      ",WIN,AK,ALCAN
AMS,"AMSTERDAM-SCHIPHOL, NETHERLANDS",AMS,AK,ALCAN
ARB,"ARUBA, NETH ANTILLES  ",ARB,AK,ALCAN
BAN,"BANKOK, THAILAND      ",BAN,AK,ALCAN
BEI,"BEICA #ARPT, ETHIOPIA",BEI,AK,ALCAN
PEK,"BEIJING CAPITAL INTL, PRC",PEK,AK,ALCAN
BDA,"KINDLEY FIELD, BERMUDA",BDA,AK,ALCAN
BOG,"BOGOTA, EL DORADO #ARPT, COLOMBIA",BOG,AK,ALCAN
EZE,"BUENOS AIRES, MINISTRO PIST, ARGENTINA",EZE,AK,ALCAN
CUN,"CANCUN, MEXICO",CUN,AK,ALCAN
CRQ,"CARAVELAS, BA #ARPT, BRAZIL",CRQ,AK,ALCAN
MVD,"CARRASCO, URUGUAY",MVD,AK,ALCAN
DUB,"DUBLIN, IRELAND       ",DUB,AK,ALCAN
FOU,"FOUGAMOU #ARPT, GABON",FOU,AK,ALCAN
FBA,"FREEPORT, BAHAMAS      ",FBA,AK,ALCAN
MTY,"GEN M. ESCOBEDO, Monterrey, MX",MTY,AK,ALCAN
HMO,"GEN PESQUEIRA GARCIA, MX",HMO,AK,ALCAN
GCM,"GRAND CAYMAN, CAYMAN ISLAND",GCM,AK,ALCAN
GDL,"GUADALAJARA, MIGUEL HIDAL, MX",GDL,AK,ALCAN
HAM,"HAMILTON, BERMUDA     ",HAM,AK,ALCAN
ICN,"INCHON, SEOUL KOREA",ICN,AK,ALCAN
IWA,"INVALID - IWAKUNI, JAPAN",IWA,AK,ALCAN
CND,"KOGALNICEANU, ROMANIA",CND,AK,ALCAN
LAH,"LABUHA ARPT, INDONESIA",LAH,AK,ALCAN
DUR,"LOUIS BOTHA, SOUTH AFRICA",DUR,AK,ALCAN
MAL,"MANGOLE ARPT, INDONESIA",MAL,AK,ALCAN
MDE,"MEDELLIN, COLOMBIA",MDE,AK,ALCAN
MEX,"JUAREZ INTL, MEXICO CITY, MX",MEX,AK,ALCAN
LHR,"MIDDLESEX, ENGLAND",LHR,AK,ALCAN
NBO,"NAIROBI, KENYA        ",NBO,AK,ALCAN
NAS,"NASSAU, BAHAMAS       ",NAS,AK,ALCAN
NCA,"NORTH CAICOS, TURK & CAIMAN",NCA,AK,ALCAN
PTY,"OMAR TORRIJOS, PANAMA",PTY,AK,ALCAN
SPV,"PAPUA, NEW GUINEA",SPV,AK,ALCAN
UIO,"QUITO (MARISCAL SUCR), ECUADOR",UIO,AK,ALCAN
RIT,"ROME, ITALY           ",RIT,AK,ALCAN
SNO,"SAKON NAKHON #ARPT, THAILAND",SNO,AK,ALCAN
SLP,"SAN LUIS POTOSI #ARPT, MEXICO",SLP,AK,ALCAN
SAN,"SAN SALVADOR, EL SALVADOR",SAN,AK,ALCAN
SRO,"SANTANA RAMOS #ARPT, COLOMBIA",SRO,AK,ALCAN
GRU,"GUARULHOS INTL, SAO PAULO, BRAZIL",GRU,AK,ALCAN
SHA,"SHANNON, IRELAND      ",SHA,AK,ALCAN
HIL,"SHILLAVO, ETHIOPIA",HIL,AK,ALCAN
TOK,"TOROKINA #ARPT, PAPUA, NEW GUINEA",TOK,AK,ALCAN
VER,"VERACRUZ, MEXICO",VER,AK,ALCAN
LGW,"WEST SUSSEX, ENGLAND  ",LGW,AK,ALCAN
ZZZ,MEXICO Land (Banco de Mexico) ,ZZZ,AK,ALCAN
CHN,No PORT Code (CHN),CHN,AK,ALCAN
CNC,"CANNON CORNERS, NY",CNC,AK,ALCAN
MAA,Abu Dhabi,MAA,AK,ALCAN
AG0,"MAGNOLIA, AR",AG0,AK,ALCAN
BHM,"BAR HARBOR, ME",BHM,AK,ALCAN
BHX,"BIRMINGHAM, AL",BHX,AK,ALCAN
CAK,"AKRON, OH",CAK,AK,ALCAN
FOK,"SUFFOLK COUNTY, NY",FOK,AK,ALCAN
LND,"LANDER, WY",LND,AK,ALCAN
MAR,"MARFA, TX",MAR,AK,ALCAN
MLI,"MOLINE, IL",MLI,AK,ALCAN
RIV,"RIVERSIDE, CA",RIV,AK,ALCAN
RME,"ROME, NY",RME,AK,ALCAN
VNY,"VAN NUYS, CA",VNY,AK,ALCAN
YUM,"YUMA, AZ",YUM,AK,ALCAN
